CountryID,Name,Abbreviation,NativeLang,IsMultipleLang,DatabaseName,ServerIP,UserName,Password,Provider
54,New Zealand,NZ,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
55,Oman,OM,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
56,Pakistan,PK,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
57,Philippines,PH,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
58,Poland,PL,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
59,Portugal,PT,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
60,Qatar,QA,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
61,Romania,RO,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
62,Russia,RU,Russian,b'1',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
63,"Serbia	",CS,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
64,Slovakia,SK,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
65,Slovenia,SI,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
66,South Africa,ZA,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
67,"South Korea	",KR,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
68,Spain,ES,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
69,Sri Lanka,LK,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
70,Switzerland,CH,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
71,Thailand,TH,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
72,Tunisia,TN,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
73,Turkey,TR,Turkish,b'0',Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
74,UAE,UAE,,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
75,Scotland,SCO,English ,,Venus,192.168.1.xx,mysqlusr,<password>,MySql.Data.MySqlClient
76,Lebanon,LBN,Arabic,,,,,,
77,Ghana,GHA,English,,,,,,
78,Saudi Arabia,SAU,Arabic,,,,,,
79,Zimbabwe,ZW,English,b'1',,,,,
80,Luxembourg,LUX,Luxembourgish,b'1',,,,,
81,Myanmar,MM,Burmese,b'0',,,,,
82,Azerbaijan,AZ,Azerbaijani,b'1',,,,,
83,Trinidad,TT,English,b'1',,,,,
84,Sint Maarten,SX,English,b'1',,,,,
85,Saint Kitts and Nevis,KN,English,b'1',,,,,
86,Georgia,GA,Georgian,b'0',,,,,
87,Armenia,AM,Armenians,b'0',,,,,
88,Cuba,CU,Spanish,b'0',,,,,
89,Iran,IR,Persian,b'0',,,,,
90,Uganda,UG,,b'0',,,,,
91,Bermuda,BM,,b'0',,,,,
92,Mozambique,MZ,,b'0',,,,,
93,Mangolia,MN,,b'0',,,,,
94,Mauritania,MR,Arabic,,,,,,
95,Combodia,KH,Khmer,,,,,,
96,Papua New Guinea,PG,English,,,,,,
97,Cameroon,CM,English,b'1',,,,,
98,Angola,AO,Portuguese,b'1',,,,,
99,Equatorial Guinea,GQ,Spanish,b'1',,,,,
