CoID,CoName,Description,CountryID,IntGICSID,ExtGICSID,CoTypeID,StatusID,InclusionDID
108,Ampco Pittsburgh Corp ,"Ampco-Pittsburgh Corporation, through its subsidiaries, engages in the manufacture and sale of custom-engineered equipment in the United States. ",1,133,133,0,13,
109,Test Ensco International Inc,"ENSCO International Incorporated, along with its subsidiaries, operates as an offshore contract drilling company worldwide.",1,104,104,0,16,
110,National Technical Systems Inc ,"National Technical Systems, Inc., a services company, supplies technical services and solutions primarily to aerospace, defense, transportation, electronics, power, computers, and telecommunications industries.",1,137,137,0,15,
111,"Dorman Products, Inc.","Dorman Products, Inc. supplies original equipment dealer automotive replacement parts, automotive hardware, brake products, and household hardware to the automotive aftermarket and mass merchandise markets primarily in the United States",1,149,149,0,15,
112,Dune Energy Inc,"Dune Energy, Inc. engages in the exploration, development, and acquisition of natural gas and crude oil properties in Texas and Louisiana areas",1,107,107,0,15,6469
113,Ram Energy Resources Inc,"RAM Energy Resources, Inc., an independent oil and gas company, engages in the acquisition, exploration, exploitation, development, and production of oil and gas properties",1,104,104,0,18,6469
114,Millennium Bankshares Corp,"Millennium Bankshares Corporation operates as the holding company for Millennium Bank National Association, which provides commercial and consumer banking services to individuals, businesses, and professional communities located primarily in Virginia.",1,209,209,0,17,6469
115,"Mercantile Bancorp, Inc","Mercantile Bancorp, Inc., a multibank holding company, provides consumer and commercial banking services to individuals, businesses, and professional organizations",1,209,209,0,15,
116,Golden Cycle Gold Corp,"Golden Cycle Gold Corporation engages in the exploration, development, and production of mining properties in Colorado and Nevada; and the Republic of the Philippines",1,121,121,0,18,6469
117,Mid Penn Bancorp Inc,"holding company of its wholly owned subsidiaries, Mid Penn Bank (the Bank), Mid Penn Insurance Services, LLC and Mid Penn Investment Corporation.",1,209,209,0,15,6469
119,"Cass Information Systems,Inc","The Company, through Cass Commercial Bank (the Bank), also provides banking services in the St. Louis metropolitan area, Orange County, California and other selected cities in the United States.",1,209,209,0,13,
120,Innovaro Inc,"UTEK Corporation, a technology transfer company, enables companies to acquire and commercialize technologies primarily developed by universities, medical centers, and federal research laboratories worldwide.",1,300,300,0,15,6469
123,Exponent Inc,"Exponent, Inc. provides science and engineering consulting services primarily in the United States",1,128,128,0,15,6469
124,Sjw Corp,"SJW Corp., through its subsidiaries, engages in the production, purchase, storage, purification, distribution, and retail sale of water in the United States",1,262,262,0,15,6469
125,Monmouth Real Estate Investment Corp,Monmouth Real Estate Investment Corporation operates as a real estate investment trust (REIT).,1,266,266,0,13,
126,New Dragon Asia Corp,"New Dragon Asia Corp. and its subsidiaries engage in the milling, sale, and distribution of flour and related products.",1,194,194,0,15,6469
127,"Newkirk Realty Trust, Inc","Newkirk Realty Trust, Inc. owns interests in The Newkirk Master Limited Partnership, which operates commercial properties in United States",1,224,224,0,18,6955
128,Gigabeam Corp,"GigaBeam Corporation engages in designing, developing, marketing, selling, leasing, renting, and installing advanced point-to-point wireless communication solutions for commercial and government customers in the United States.",1,244,244,0,16,6469
129,Gentek Inc,"GenTek, Inc., through its subsidiaries, engages in the manufacture and marketing of industrial components and performance chemicals.",1,111,111,0,18,6469
130,Benihana Inc ,"When the first Benihana opened in 1964, Japanese cuisine was unknown to the United States and the idea of having a chef prepare a meal at your table was completely unheard of.",1,166,166,0,18,6469
131,Network Engines Inc,"Network Engines, Inc. (Network Engines) develops and manufactures server appliance solutions that deliver data storage and network security applications on server appliances.",1,244,244,0,18,6469
132,Tandy Brands Accessories Inc,"Tandy Brands Accessories, Inc. designs, manufactures, and markets men’s, women’s, and children’s accessories in the United States and Canada",1,160,160,0,15,
133,Tengasco Inc,"Tengasco, Inc. engages in the exploration, production, and transportation of oil and natural gas in Kansas and Tennessee",1,107,107,0,15,6469
134,One Liberty Properties Inc,"One Liberty Properties, Inc., a real estate investment trust (REIT), engages in the acquisition, ownership, and management of commercial real estate properties in the United States.",1,290,290,0,13,6469
135,Contango Oil and Gas Company,"Contango Oil & Gas Company engages in the exploration, development, production, and acquisition of natural gas and oil properties primarily offshore in the Gulf of Mexico and in the Arkansas Fayetteville Shale.",1,107,107,0,13,6469
136,"Abington Bancorp, Inc","Abington Community Bancorp, Inc. operates as the holding company for Abington Savings Bank that provides various commercial banking services in Pennsylvania.",1,209,209,0,18,
137,Endwave Corp,"manufacture, and marketing of radio frequency (RF) modules that enable the transmission, reception, and processing of high frequency signals in telecommunication networks, defense electronics, and homeland security systems.",1,244,244,0,17,
138,Cal Maine Foods Inc,"Cal-Maine Foods, Inc. engages in the production, grading, packaging, marketing, and distribution of shell eggs in the United States.",1,194,194,0,13,
139,Sorl Auto Parts Inc ,"SORL Auto Parts, Inc., through a joint venture in China, engages in the manufacture and distribution of automotive air brake valves and related components for commercial vehicles in the Peoples Republic of China.",1,149,149,0,15,6469
140,Odyssey Marine Exploration Inc,"Odyssey Marine Exploration, Inc. engages in the archaeologically sensitive exploration and recovery of deep-water shipwrecks worldwide.",1,274,274,0,13,
141,Waterstone Financial Inc,"Wauwatosa Holdings, Inc. operates as the holding company for Wauwatosa Savings Bank, which offers general banking services in Wisconsin.",1,210,210,0,15,
142,Cuisine Solutions Inc,"Cuisine Solutions, Inc. develops, produces, and markets frozen entrees and sauces for the banquet, airline, passenger rail service, retail, military, and restaurant industries in the United States and Europe.",1,194,194,0,17,6469
143,Pennichuck Corp,"Pennichuck Corporation, through its subsidiaries, engages in the collection, storage, treatment, and distribution of potable water for domestic, industrial, commercial, and fire protection service in southern and central New Hampshire.",1,262,262,0,18,6469
144,Connecticut Water Service Inc,"Connecticut Water Service, Inc., through its wholly owned subsidiaries, primarily supplies drinking water in Connecticut.",1,262,262,0,15,
145,Cpi Corp,"CPI Corp., through its subsidiaries, engages in the manufacture and sale of professional portrait photography of babies, children, adults, and family groups.",1,168,168,0,15,6469
146,Conversant Inc,"Convera Corporation engages in the design, development, marketing, implementation, and support of search and categorization software solutions.",1,240,240,0,17,
147,Arrowhead Research Corp,"Arrowhead Research Corporation, a development stage company, operates as a nanotechnology company.",1,137,137,0,15,
150,Superior Uniform Group Inc.,"Superior Uniform Group, Inc., through its subsidiary, engages in the manufacture and sale of various uniforms, corporate I.D., career apparel, and accessories in the United States",1,160,160,0,15,
156,"Empire Resources,Inc","Empire Resources, Inc. engages in the purchase, sale, and distribution of aluminum semifinished products in the United States, Canada, Europe, Australia, and New Zealand.",1,119,119,0,15,
157,Authentidate Holding Corp.,"Authentidate Holding Corp. (AHC), through its subsidiaries, provides enterprise workflow management solutions.",1,240,240,0,15,
158,Borgwarner Inc,"BorgWarner, Inc. engages in the manufacture and sale of engineered systems and components for vehicle power train applications worldwide. The company operates in two segments, Engine and Drivetrain",1,149,149,0,15,
159,Eastern Co,"The Eastern Company is engaged in the manufacture and sale of industrial hardware, security products and metal products.",1,133,133,0,15,
160,Zones Inc.,"supplies, such as toner cartridges, storage media, and cables.",1,250,250,0,17,
162,"Mines Management , Inc","Mines Management, Inc., together with its subsidiaries, engages in the acquisition, exploration, and development of mineral properties primarily silver, copper, and precious metals in North America.",1,120,120,0,15,
163,Exide Technologies,"Exide Technologies engages in the manufacture and supply of lead acid batteries used in transportation, motive power, network power, and military applications.",1,149,149,0,15,6469
165,Atlantic Coast Federal Corp,"Atlantic Coast Federal Corporation primary deposit products include checking and savings accounts, money market accounts, demand deposit accounts, time deposit accounts, and term certificate accounts.",1,210,210,0,15,
166,Vse Corp,"VSE Corporation provides engineering, logistics, management, and technical services to the United States Government, other government prime contractors, nongovernment organizations, and commercial entities.",1,128,128,0,13,6469
167,Enventis corp,Enventis corp,1,257,257,0,18,
168,Hampshire Group Ltd.,"Hampshire Group, Limited, through its subsidiaries, engages in the design and marketing of apparel for men and women",1,160,160,0,15,
169,Credo Petroleum Corp,"CREDO Petroleum Corporation, through its subsidiaries, SECO Energy Corporation and United Oil Corporation, engages primarily in oil and gas exploration, development, and production activities in the mid-Continent region of the United States.",1,107,107,0,18,6469
176,"Thomas Group, Inc.","Thomas Group, Inc. provides operations consulting and management services to enterprises in North America, Europe, and Asia/Pacific. It offers process improvement and performance management services",1,137,137,0,15,
177,Lazare Kaplan International Inc,"Lazare Kaplan International, Inc. (LKI) engages in cutting, polishing, and selling ideally proportioned diamonds. It markets these diamonds under the brand name, Lazare Diamonds.",1,160,160,0,15,
178,I-Many Inc.,"I-many, Inc. provides software solutions and related professional services that allow customers to manage contract-based or trade agreement-based commitments worldwide.",1,237,237,0,18,
179,Starrett L.S. Co -Cl A,Starrett L.S. Co -Cl A,1,133,133,0,13,
180,Panhandle Oil and Gas Inc,"Panhandle Royalty Company engages in the acquisition and management of fee mineral acreage, and the exploration for and development of oil and gas properties.",1,107,107,0,13,
181,Navisite Inc.,"NaviSite, Inc. provides application management, hosting, and professional services for mid- to large-sized organizations.",1,237,237,0,18,
182,Easylink Services International Corporation,Internet Commerce Corporation provides Internet-based services for the e-commerce business-to-business communication services market primarily in the United States.,1,237,237,0,18,
183,Skyline Champion Corp,Skyline Champion Corp,1,155,155,0,15,6469
184,"Teledyne Bolt, Inc","Teledyne Bolt, Inc",1,105,105,0,18,6469
186,Integrated Alarm Services Group Inc,"ntegrated Alarm Services Group, Inc. provides monitoring, financing, and business support services to independent security alarm dealers serving the residential and commercial markets in the United States.",1,137,137,0,18,
187,Castle A M & Co,"A. M. Castle & Co., through its subsidiaries, operates as a specialty metals and plastics distribution company in the North American market",1,123,123,0,15,
188,Berkshire Bancorp Inc,"Berkshire Bancorp, Inc. operates as the bank holding company for The Berkshire Bank that provides various banking products and services to businesses, professionals, and retail customers primarily in New York City metropolitan area.",1,210,210,0,15,6469
189,Caraco Pharmaceutical Laboratories Ltd,"Caraco Pharmaceutical Laboratories, Ltd. engages in the development, manufacture, marketing, and distribution of generic and private-label pharmaceuticals in the United States",1,206,206,0,18,
190,Harleysville National Corporation,Harleysville National Corporation operates as the holding company for Harleysville National Bank and Trust Company that provides commercial banking services to individual and corporate customers in eastern Pennsylvania,1,209,209,0,18,
195,Access National Corp,"Access National Corporation operates as the holding company for Access National Bank that provides commercial credit, deposit, and mortgage services to the middle market businesses and associated prof",1,209,209,0,15,6469
196,Columbia Laboratories Inc,"Columbia Laboratories, Inc. engages in the development, licensing, and sale of pharmaceutical products for women’s reproductive healthcare and endocrine-related disorders worldwide",1,206,206,0,18,6469
197,Bsd Medical Corp,"BSD Medical Corporation engages in the development, manufacture, marketing, and servicing of systems used for the treatment of cancer and other diseases.",1,198,198,0,15,6469
198,Clinical Data Inc,"Clinical Data, Inc. provides molecular and pharmacogenomics services, genetic tests to improve patient care, and clinical diagnostics worldwide",1,198,198,0,18,6469
199,America First Apartment Investors Inc,"America First Apartment Investors, Inc., a real estate investment trust (REIT), engages in the ownership and management of multifamily apartment properties located in the United States.",1,230,230,0,18,
200,Cytomedix Inc.,"Cytomedix, Inc., a biotechnology company, engages in developing, producing, licensing, and distributing autologous cellular therapies for the treatment of chronic, nonhealing wounds.",1,205,205,0,15,
201,Delcath Systems Inc ,"Delcath Systems, Inc., a development stage company, engages in the development and marketing of a medical device for the treatment of liver cancer.",1,198,198,0,15,6469
204,Desire Petroleum Plc,"Desire Petroleum is a UK, independent exploration company established in 1996 to participate in the first round of drilling for the offshore licence in the North Falkland Basin.",2,107,107,0,15,6469
205,Bond International Software Plc,"Bond International Software Group is a pioneer in the development and provision of staffing software, support and consultancy services to the staffing and recruiting industries.",2,240,240,0,15,
206,Dee Valley Group,"Dee Valley Group was established in 1994 as the holding company for Wrexham Water plc (formerly Wrexham and East Denbighshire Water Company), the water supplier for Wrexham and the surrounding area",2,262,262,0,15,
207,Cadbury Schweppes Plc,"One of the biggest international beverage and confectionery companies in the world with a market capitalisation of £10 billion (April, 2005).",2,194,194,0,18,6469
208,Jersey Electricity Co Plc,"Established in April 1924, the Jersey Electricity Company, today, is a £60 million turnover business and is the sole distributor of electricity on the Island of Jersey",2,259,259,0,15,
209,Pathfinder Properties Plc,"While this Pathfinder has encountered some obstacles and craters, its mission remains steadfast",2,235,235,0,16,6469
210,Astrazeneca Plc,"AstraZeneca PLC (AstraZeneca) is a biopharmaceutical company. The Company focuses on discovery and development of products, which are then manufactured, marketed and sold.
",2,206,77,0,15,6469
211,Inchcape Plc,"Inchcape, an international automotive services group, provides quality representation for its manufacturer partners, a choice of channels to market and products for its retail customers and a range of business services for its corporate customers.",2,174,174,0,15,6469
212,Pearson Plc,"Pearson is an international media company with market-leading businesses in education, business information and consumer publishing.",2,167,167,0,15,6469
213,Integrated Asset Management Plc,"ntegrated Asset Management plc (“Integrated”), a London based company founded in 1997, is a leading",2,216,216,0,17,
214,Business Systems Group Holdings Plc,"A lot of companies are choosing to have IT with BSG. Business Systems Group Holdings (BSG) provides hardware, software, and information technology consulting and services.",2,238,238,0,18,
215,Lincat Group Plc,"Lincat Group plc manufactures through its subsidiary companies a wide range of kitchen, bar and food processing equipment.",2,133,133,0,18,6469
216,Tate & Lyle Plc,"Tate & Lyle is a world-leading ingredients company. They operate 41 manufacturing plants and 20 additional production facilities in 28 countries, predominantly in the Americas and Europe",2,194,194,0,15,6469
217,IS Pharma Plc,"Maelors business is the conception and development of proven, market-ready high value products for niche healthcare applications.",2,199,199,0,18,6469
218,Sibir Energy Plc,Sibir Energy produces oil and natural gas from drilling operations in Russia.,2,107,107,0,17,6469
219,United Utilities Group Plc,United Utilities Group Plc,2,261,261,0,15,
227,Testcentral Company,testcentral company,2,230,230,0,16,
228,Worldgate Communications Inc,"WorldGate Communications, Inc. engages in the design, manufacture, and distribution of personal video phones. It primarily offers Ojo personal video phones that provide two-way video communications with video messaging and an optional cordless handset.",1,237,237,0,15,6469
229,"Cytori Therapeutics, Inc","Cytori Therapeutics, Inc. engages in the discovery and development of cell-based regenerative medicine therapies worldwide. ",1,205,205,0,15,
230,Wpp Plc,Wpp Plc,2,278,278,0,15,6469
231,Cytrx Corp,"CytRx Corporation, a biopharmaceutical research and development company, develops human therapeutics primarily in the area of small molecules and ribonucleic acid interference (RNAi).",1,205,205,0,13,
232,Computerland Uk Plc,"ComputerLand focuses on providing organisations with essential IT services that will improve business productivity, increase quality of IT service and reduce IT costs.",2,238,238,0,17,6469
234,United Capital Corp,United Capital Corp,1,131,131,0,17,6469
236,Molins Plc,"The company makes tobacco and packaging machinery, but in the face of declining tobacco machinery orders, Molins has shifted its focus from manufacturing to servicing machinery already in place.",2,133,133,0,15,6469
237,Christie Group Plc,"Christie Group is a holding company that operates under three divisions to provide professional business services, software solutions, and stock and inventory services to North American and European companies.",2,168,168,0,15,6469
238,Amvescap Plc,AMVESCAP PLC is a publicly owned asset management holding company.,2,216,216,0,17,6469
240,Farmer Brothers Co. ,Farmer Bros. Co. manufactures and distributes coffee and spices to the institutional food service segment.,1,194,194,0,13,
241,Axis-Shield Plc,Axis-Shield is active in key clinical areas where the development of suitable diagnostics is acknowledged to have a potential beneficial effect on outcomes.,2,198,198,0,18,6469
242,Maui Land & Pineapple Co,Maui Land & Pineapple Co,1,275,275,0,15,6469
243,Vodafone Group Plc,"Vodafone Group Public Limited Company operates as a mobile telecommunications company primarily in Europe, the Middle East, Africa, Asia Pacific, and the United States",2,258,258,0,15,6469
244,Triad Group Plc,"Triad Group Plc(TRIAD). The Companys principal activity is providing business consultancy, software and systems delivery",2,241,241,0,15,6469
245,Embrex Inc,"Embrex, Inc., a biotechnology company, engages in the development, sale, and lease of biological and mechanical products for the poultry industry in the United States and internationally.",1,205,205,0,18,
250,Intimas Group,"Intimas is a designer and supplier of ladies intimate apparel, with a portfolio of brands comprising of Lepel, Miss Lepel, Ted Baker Intimates, Discover Mademoiselle, Charnos and By Caprice Lingerie. Companys corporate office is located in Nottingham UK.",2,160,160,0,17,
251,Allocate Software Plc,"Manpower, Inc., together with its subsidiaries, operates in the employment services industry worldwide.",2,240,240,0,15,6469
252,Walker Crips Group Plc,"When it comes to money, Walker, Crips, Weddle, Beck knows how to walk the talk",2,217,217,0,15,
253,Mac-Gray Corp,Mac-Gray Corporation operates as a laundry facilities management contractor primarily in North America.,1,137,137,0,18,
254,Associated Estates Realty Corp ,Associated Estates Realty Corporation operates as a self-administered and self-managed equity real estate investment trust in the United States.,1,230,230,0,13,
255,Ames National Corp,"Ames National Corporation, through its subsidiaries, provides commercial banking services in Iowa.",1,209,209,0,13,6469
256,Hemispherx Biopharma Inc,"Hemispherx Biopharma, Inc., a biopharmaceutical company, engages in the clinical development and manufacture of drugs for the treatment of viral and immune-based chronic disorders.",1,205,205,0,13,
257,Slimma Plc,"Slimma wants its consumers to look phat. Slimma manufactures womens clothing under the Slimma, Kazuelle, Re-Al, Pastiche, and the more upscale Frank Usher brand names, among others, for distribution in the UK",2,160,160,0,18,6469
258,Microislet Inc,"MicroIslet, Inc., a development stage biotechnology company, engages in the research, development, and commercialization of technologies in the field of transplantation therapy for patients with insulin-dependent diabetes.",1,205,205,0,17,6469
259,Tottenham Hotspur Plc,"Tottenham Hotspur plc owns and operates a professional football club, Tottenham Hotspur Football Club, together with its stadium and other related commercial activities.",2,172,172,0,17,6469
260,Silence Therapeutics plc,"SR Pharma plc. is a European biopharmaceutical company, which is based in the UK and Germany and listed on AIM, London.",2,205,205,0,15,
280,London Security Plc,Too bad this company wasnt around for the Great Fire of London in 1666.,2,133,133,0,15,6469
282,21st Century Technology PLC,TG21 has hopped through a garden of business operations.,2,149,149,0,15,6469
283,Novadel Pharma Inc,"Novadel Pharma, Inc., a specialty pharmaceutical company, develops application drug delivery systems for prescription, over-the-counter, and veterinary drugs.",1,206,206,0,15,6469
284,Old Point Financial Corp,"Old Point Financial Corporation operates as the holding company for The Old Point National Bank of Phoebus, which provides community banking services to individual and commercial customers primarily in the Hampton Roads area in Virginia.",1,209,209,0,15,
285,Hawtin Plc,Hawtin PLC is a holding company principally engaged in property management.,2,234,234,0,17,6469
286,Prime Focus London plc,VTR is a media services group with turnover in excess of £22m and employing around 270 people.,2,172,172,0,15,
287,S & U Plc,S&U PLC is the United Kingdoms foremost niche consumer and motor finance provider,2,215,215,0,15,6469
288,Wensum Company Plc,"As discrete as a whisper, The Wensum Company tries to protect its corporate clients from fashion missteps.",2,160,160,0,17,
289,Kofax PLC,"Kofax PLC, formerly DICOM Group plc, is United Kingdom-based is engaged in development and marketing of Intelligent Capture and Exchange solutions and services. Its capture and exchange technologies and solutions enable Business Process Automation",2,240,240,0,15,
290,Peregrine Pharmaceuticals Inc,"Peregrine Pharmaceuticals, Inc., a biopharmaceutical company, engages in the research, development, and commercialization of novel therapeutics for cancer and viral diseases",1,205,205,0,15,
291,Ambrian capital plc,Ambrian Capital (formerly Golden Prospect) is a mining development and investment company with gold and platinum exploration operations in Africa.,2,121,121,0,15,
292,Omega Financial Corp,Omega Financial Corporation operates as the bank holding company for Omega Bank that provides retail and commercial banking services in Pennsylvania.,1,209,209,0,19,6469
293,Northern Empire Bancshares,"Northern Empire Bancshares operates as the holding company for Sonoma National Bank, which provides commercial banking services in California.",1,209,209,0,18,
294,Source BioScience PLC,Medical Solutions is a highly focused international healthcare business specialising in diagnostic pathology and cytology services and products.,2,201,201,0,15,
295,Thomas Walker Plc,"The Groups principal activities are manufacturing and selling fastening systems, fasteners for the clothing industry and products for the identity and security industries.",2,160,160,0,17,6469
296,ELECTRONIC ARTS INC,"Electronic Arts, Inc. engages in the development, marketing, publishing, and distribution of interactive software games worldwide.",1,241,241,0,15,6469
297,Generex Biotechnology Corp.,"Generex Biotechnology Corporation engages in the research, development, and commercialization of drug delivery systems and technologies for metabolic and immunological diseases.",1,206,206,0,15,
298,Immunomedics Inc,"Immunomedics, Inc., a biopharmaceutical company, develops monoclonal antibody-based products for the treatment of cancer, autoimmune, and other serious diseases.",1,205,205,0,15,
299,"Immtech Pharmaceuticals, Inc","Immtech Pharmaceuticals, Inc., a pharmaceutical company, engages in the development and commercialization of oral drugs to treat infectious diseases",1,206,206,0,16,
300,Forbidden Technologies Plc,Do users want it even more because its Forbidden? Forbidden Technologies plc develops video compression technology that enables users to play videos over the Internet without downloading a specific player.,2,240,240,0,15,6469
301,Imagelinx Plc,"LTG Technologies read the news and decided to get small(er). In mid-2006 the company sold its larger business, LTG Mail?er (which manufactures presses for metal sheet printing), to rival Koenig & Bauer.",2,133,133,0,15,
302,Bnp Residential Properties Inc,"BNP Residential Properties, Inc. operates as a real estate investment trust (REIT).",1,230,230,0,18,
303,Maisha Plc,"Maisha PLC is a holding company. The Company operates through a subsidiary located in Atlanta, United States.",2,194,194,0,17,
304,Windsor Plc,"Windsor is an international insurance and reinsurance broker, and also a Lloyds Broker, acting in divisions as diverse as professional indemnity, cargo trade and political risks, or with the Footbal League and PFA",2,219,219,0,18,6469
305,Coastal Financial Corp,Coastal Financial Corporation operates as the holding company for Coastal Federal Bank that provides various financial services in the United States,1,210,210,0,18,6469
306,Highams Systems Services Group Plc,"Highams Recruitment - including Highams Recruitment BV, a Netherlands operation - provides total IT resource solutions into the Insurance and Financial Services sectors.",2,138,138,0,15,
307,Glaxosmithkline Plc,"GlaxoSmithKline plc is a global healthcare company. The Company operates through three segments: Pharmaceuticals, Vaccines and Consumer Healthcare. The Company focuses on its research across six areas: Respiratory diseases, human immunodeficiency virus (HIV)/infectious diseases, Vaccines, Immuno-inflammation, Oncology and Rare diseases. The Company makes a range of prescription medicines, vaccines and consumer healthcare products.",2,206,206,0,15,6469
308,"UMH Properties, Inc.","UMH Properties, Inc., a real estate investment trust (REIT), engages in the ownership and operation of manufactured home communities.",1,274,274,0,13,
309,Graham Corp,Graham Corporation engages in the design and manufacture of vacuum and heat transfer equipment.,1,133,133,0,13,
310,National Grid Plc,"National Grid Transco is one of the worlds largest utilities, focused on delivering energy safely, reliably and efficiently.",2,261,261,0,15,6469
311,Research Frontiers Inc.,Research Frontiers Incorporated engages in the development and licensing of its suspended particle technology for controlling the amount of light passing through a device.,1,247,247,0,15,
312,K Tron International Inc,"K-Tron International, Inc. and its subsidiaries engages in the design, production, marketing, and service of material handling equipment and systems for various industrial markets.",1,133,133,0,18,
313,Bella Media Plc,"Bella Media PLC is a wireless Internet service provider in the United Kingdom, Ireland, and Germany. The Groups services allow users of WAP-products, personal digital assistants, and notebook computers to have quick access to the Internet.",2,172,172,0,17,6469
314,Safeland Plc,"Safeland PLC combine property trading, refurbishment, storage and investment.",2,233,233,0,15,6469
315,Galectin Therapeutics Inc,Galectin Therapeutics Inc,1,205,205,0,13,
316,London Finance & Investment Group Plc,ondon Finance & Investment Group hasnt strayed far from its name.,2,216,216,0,15,
317,Densitron Technologies Plc,"Some products need each other: Without computing power, you cant run any programs; without a display, you cant see your program results.",2,244,244,0,15,6469
318,United Western Bancorp Inc,"United Western Bancorp, Inc. operates as the holding company for United Western Bank, which provides community-based banking services to individuals and small to mid-size business customers in Colorado",1,208,208,0,17,6469
319,Pmfg Inc,Pmfg Inc,1,133,133,0,13,
320,Honeycombe Leisure Plc,Some like their pints as dark as motor oil; others prefer sipping on a honey-hued brew.,2,166,166,0,18,6469
323,Patriot National Bancorp Inc,"Patriot National Bancorp, Inc. operates as the holding company for Patriot National Bank, which provides consumer and commercial banking services to individuals, small and medium-sized businesses, and professionals in Fairfield county.",1,209,209,0,15,6469
324,Peoples Financial Corp,"Peoples Financial Corporation operates as the holding company for The Peoples Bank, which provides commercial banking services in Mississippi",1,209,209,0,15,
325,Highland Timber Plc,Highland Timber is engaged in the ownership of forest estates throughout the UK and New Zealand.,2,124,124,0,19,6469
326,Photomedex Inc ,"PhotoMedex, Inc. engages in the development, manufacture, and marketing of medical products and services, specializing in dermatology laser devices and skin care products.",1,198,198,0,15,6469
327,Cardiff Property Plc,The group seeks to enhance shareholder value by developing its property portfolio and through strategic acquisitions.,2,234,234,0,14,6469
328,"Poniard Pharmaceuticals, Inc","Poniard Pharmaceuticals, Inc., a specialty pharmaceutical company, focuses on the discovery, development, and commercialization of oncology products. ",1,205,205,0,15,
329,"Scolr Pharma, Inc ","SCOLR Pharma, Inc., a pharmaceutical company, engages in the development and formulation of over-the-counter products, prescription drugs, and dietary supplement products that use its patented controlled delivery technology (CDT).",1,206,206,0,15,
332,Rockwell Medical Technologies Inc,"Rockwell Medical Technologies, Inc.",1,198,198,0,15,
333,Regenerx Biopharmaceuticals Inc,"RegeneRx Biopharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery and development of molecules that accelerate tissue and organ repair. ",1,205,205,0,15,
335,Crc Group Plc,The CRC Group provides technology repair services and solutions to market leading customers in the communications and information technology sectors.,2,137,137,0,17,
336,"Adams Resources & Energy, Inc. ","Adams Resources & Energy, Inc. and its subsidiaries engage in the marketing of crude oil, natural gas and petroleum products in Houston, Texas.",1,107,107,0,13,
337,Coolabi Plc,"Coolabi PLC is a holding company for three subsidiary companies, operating in the areas of film sales and film and television production.",2,172,172,0,18,6469
338,Da Group Plc,DA Group (formerly Digital Animations Group) works to give the virtual world some character.,2,240,240,0,16,6469
